Number of numbers:		1000	2000	3000	4000	5000	6000	7000	8000	9000
10000										
Build BST:	0.015625	0.0625	0.015625			0.03125		0.046875		
0.046875	0.0625	0.109375			0.09375			0.09375		
Build AVL:	0.03125	0.0625	0.125	0.15625				0.203125	0.28125	
0.328125	0.328125		0.4375			0.453125				
Search in BST:	0.046875		0.109375			0.1875	0.25	0.296875		
0.421875	0.46875		0.546875			0.671875		0.75		
Search in AVL:	0.03125		0.09375			0.125	0.15625	0.234375		
0.265625	0.328125		0.375 0.4375					0.5		
Remove from BST:	0.0	0.0	0.015625			0.0	0.015625	0.015625		
0.015625	0.03125		0.046875			0.046875				
Remove from AVL:	0.015625		0.03125			0.03125		0.078125	0.0625	
0.125 0.15625		0.171875			0.140625			0.21875		
